"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"two-choice","125","443285","0.0-3.122-0.122","521","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","63"
"two-choice","126","446175","0.0-3.123-0.123","602","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","63"
"two-choice","127","448863","0.0-3.124-0.124","410","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","63"
"two-choice","128","451535","0.0-3.125-0.125","391","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","64"
"two-choice","129","454325","0.0-3.126-0.126","509","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","65"
"two-choice","130","457058","0.0-3.127-0.127","451","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","66"
"two-choice","131","459821","0.0-3.128-0.128","479","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","66"
"two-choice","132","462525","0.0-3.129-0.129","423","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","66"
"two-choice","133","465495","0.0-3.130-0.130","688","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","67"
"two-choice","134","468966","0.0-3.131-0.131","1197","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","67"
"two-choice","135","471741","0.0-3.132-0.132","491","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","67"
"two-choice","136","474447","0.0-3.133-0.133","420","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","68"
"two-choice","137","477060","0.0-3.134-0.134","345","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","68"
